# DateTime,20170420_185726
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_PK
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_PK.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,196.35,0.3759,0.6395,6548.8039,2.77,2.4036,0.17153
,,3000,204.58,0.1148,0.6389,6548.8039,2.19,0.7338,0.05130
,,4000,204.58,0.0578,0.6388,6548.8040,0.94,0.3692,0.02582
,,5000,204.58,0.0408,0.6388,6548.8040,0.90,0.2607,0.01823
,,6000,204.58,0.0317,0.6388,6548.8040,0.89,0.2023,0.01415
,,7000,204.58,0.0290,0.6388,6548.8040,0.87,0.1850,0.01293
,,8000,204.54,0.0263,0.6389,6548.8040,0.86,0.1679,0.01174
,,9000,204.37,0.0222,0.6389,6548.8040,0.93,0.1418,0.00992
,,10000,204.58,0.0208,0.6389,6548.8040,0.91,0.1327,0.00927
,,11000,203.96,0.0198,0.6389,6548.8040,0.94,0.1263,0.00884
,,12000,203.79,0.0212,0.6389,6548.8040,0.95,0.1352,0.00947
,,13000,202.92,0.0207,0.6388,6548.8040,1.00,0.1322,0.00928
,,14000,202.35,0.0209,0.6388,6548.8040,0.98,0.1336,0.00939
,,15000,201.98,0.0212,0.6388,6548.8040,1.01,0.1356,0.00954
,,16000,201.13,0.0206,0.6388,6548.8040,1.02,0.1316,0.00928
