# DateTime,20170420_192609
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_NH3_BL
# SchemeFile,C:\Picarro\G2000\InstrConfig\Schemes\NH3_BL.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,47809.1757812
# TUNER_SWEEP_RAMP_LOW_REGISTER,17726.8261719
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,45709.1757812
# TUNER_WINDOW_RAMP_LOW_REGISTER,19826.8261719
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,198.77,0.3825,0.6388,6548.5149,2.55,2.4433,0.17330
,,3000,204.62,0.1171,0.6382,6548.5149,2.55,0.7475,0.05225
,,4000,204.58,0.0547,0.6380,6548.5150,1.06,0.3487,0.02438
,,5000,204.58,0.0403,0.6381,6548.5150,0.88,0.2568,0.01796
,,6000,204.58,0.0353,0.6381,6548.5150,0.86,0.2254,0.01576
,,7000,204.54,0.0304,0.6381,6548.5150,0.86,0.1937,0.01355
,,8000,204.58,0.0261,0.6381,6548.5150,0.89,0.1664,0.01164
,,9000,204.62,0.0246,0.6382,6548.5150,0.85,0.1571,0.01098
,,10000,204.37,0.0228,0.6382,6548.5150,0.90,0.1454,0.01017
,,11000,204.16,0.0210,0.6381,6548.5150,0.90,0.1343,0.00940
,,12000,203.54,0.0216,0.6381,6548.5150,0.92,0.1381,0.00968
,,13000,203.17,0.0214,0.6381,6548.5150,0.94,0.1364,0.00957
,,14000,202.55,0.0195,0.6381,6548.5150,0.95,0.1247,0.00876
,,15000,201.94,0.0210,0.6381,6548.5150,0.98,0.1340,0.00943
,,16000,202.72,0.0208,0.6381,6548.5150,0.98,0.1325,0.00931
