# DateTime,20170724_130410
# Description,Variation of ringdown statistics with threshold
# InstrumentName,AMADS2015_HF_PK
# SchemeFile,/home/picarro/I2000/AppConfig/Schemes/HF_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,3
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,1200.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,43878.9492188
# TUNER_SWEEP_RAMP_LOW_REGISTER,21657.0507812
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1080.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,42678.9492188
# TUNER_WINDOW_RAMP_LOW_REGISTER,22857.0507812
# TWGEN_SLOPE_DOWN,15000
# TWGEN_SLOPE_UP,15000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,313.77,0.5225,0.6871,7823.8575,15.52,3.5903,0.20269
,,3000,301.57,0.1004,0.6864,7823.8577,10.63,0.6888,0.03967
,,4000,286.86,0.0604,0.6863,7823.8578,9.51,0.4146,0.02448
,,5000,262.40,0.0439,0.6863,7823.8578,9.73,0.3013,0.01860
,,6000,236.35,0.0348,0.6863,7823.8578,10.18,0.2389,0.01554
,,7000,205.38,0.0299,0.6864,7823.8578,9.97,0.2050,0.01431
,,8000,162.87,0.0257,0.6864,7823.8578,10.29,0.1767,0.01384
,,9000,117.56,0.0256,0.6865,7823.8579,9.33,0.1756,0.01620
,,10000,68.24,0.0231,0.6865,7823.8579,9.40,0.1585,0.01918
,,11000,43.92,0.0196,0.6866,7823.8579,9.42,0.1343,0.02026
,,12000,44.34,0.0175,0.6866,7823.8580,8.85,0.1204,0.01808
,,13000,20.79,0.0175,0.6866,7823.8580,8.65,0.1202,0.02637
,,14000,15.43,0.0184,0.6866,7823.8580,9.43,0.1265,0.03220
,,15000,7.49,0.0190,0.6865,7823.8582,9.25,0.1301,0.04756
,,16000,7.39,0.0186,0.6865,7823.8582,8.79,0.1275,0.04693
