# DateTime,20170426_125117
# Description,Variation of ringdown statistics with threshold
# InstrumentName,SADS2020_HF_PK
# SchemeFile,C:\Picarro\G2000\AppConfig\Schemes\HCL_peak.sch
# TUNER_DITHER_MEDIAN_COUNT_REGISTER,9
# TUNER_SWEEP_DITHER_HIGH_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_DITHER_LOW_OFFSET_REGISTER,2100.0
# TUNER_SWEEP_RAMP_HIGH_REGISTER,49551.9023438
# TUNER_SWEEP_RAMP_LOW_REGISTER,15994.0976562
# TUNER_WINDOW_DITHER_HIGH_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_DITHER_LOW_OFFSET_REGISTER,1890.0
# TUNER_WINDOW_RAMP_HIGH_REGISTER,47451.9023438
# TUNER_WINDOW_RAMP_LOW_REGISTER,18094.0976562
# TWGEN_SLOPE_DOWN,37500
# TWGEN_SLOPE_UP,5000
# Units,,digU,rd/s,%,ppm/cm,cm^-1,MHz,ppb/cm,ppb/cm/sqrt(Hz)
# Titles,,Threshold,Rate,Shot-to-shot,Mean loss,Mean wavenumber,StdDev freq,StdDev loss,Sensitivity
,,2000,343.88,813.8152,0.3847,5739.1888,3.52,3130.7592,168.82884
,,3000,173.40,3.6416,0.7727,5739.1892,1.31,28.1397,2.13695
,,4000,204.54,0.1420,0.7722,5739.1892,1.23,1.0962,0.07665
,,5000,204.54,0.1073,0.7724,5739.1892,1.21,0.8289,0.05796
,,6000,204.54,0.0878,0.7727,5739.1892,1.24,0.6785,0.04744
,,7000,204.58,0.0753,0.7729,5739.1892,1.29,0.5820,0.04069
,,8000,204.54,0.0628,0.7731,5739.1892,1.25,0.4859,0.03397
,,9000,203.71,0.0574,0.7733,5739.1892,1.31,0.4438,0.03110
,,10000,203.13,0.0469,0.7734,5739.1892,1.28,0.3629,0.02546
,,11000,201.37,0.0468,0.7736,5739.1892,1.27,0.3622,0.02553
,,12000,197.63,0.0404,0.7737,5739.1892,1.39,0.3126,0.02224
,,13000,195.20,0.0361,0.7738,5739.1892,1.32,0.2797,0.02002
,,14000,192.42,0.0312,0.7739,5739.1892,1.40,0.2411,0.01738
,,15000,187.34,0.0292,0.7740,5739.1892,1.43,0.2260,0.01651
,,16000,175.41,0.0292,0.7740,5739.1892,1.54,0.2258,0.01705
